PS E:\课题研究> cd "e:\课题研究\" ; if ($?) { g++ -std=c++14 model_0_2.cpp -o model_0_2 } ; if ($?) { .\model_0_2 }
Point #N        Game    Score(A:B)      L_i             G_A             G_B             M_A             M_B
92              6       4:7             0.158600        0.000000        -0.158600       0.042315        -0.083455
93              6       5:7             0.109800        0.109800        0.000000        0.070241        -0.048827
94              6       6:7             0.168300        0.168300        0.000000        0.111269        -0.027162
95              6       7:7             0.236700        0.236700        0.000000        0.161052        -0.018198
96              6       7:8             0.293800        0.000000        -0.293800       0.101925        -0.124280
97              6       7:9             0.269300        0.000000        -0.269300       0.068290        -0.177839
98              6       7:10            0.188700        0.000000        -0.188700       0.040098        -0.191143
99              6       7:11            0.081100        0.000000        -0.081100       0.018197        -0.159006
100             7       0:1             0.158300        0.000000        -0.158300       0.000000        -0.153832
101             7       0:2             0.139700        0.000000        -0.139700       0.000000        -0.145412
102             7       1:2             0.129400        0.129400        0.000000        0.056105        -0.080901
103             7       2:2             0.147800        0.147800        0.000000        0.094473        -0.046488
104             7       3:2             0.185500        0.185500        0.000000        0.130710        -0.028200
105             7       4:2             0.191300        0.191300        0.000000        0.160558        -0.010740
106             7       4:3             0.219400        0.000000        -0.219400       0.107574        -0.083703
107             7       4:4             0.213400        0.000000        -0.213400       0.065409        -0.137495
108             7       4:5             0.210200        0.000000        -0.210200       0.036211        -0.172315
109             7       4:6             0.179300        0.000000        -0.179300       0.014707        -0.183855
110             7       5:6             0.165600        0.165600        0.000000        0.063178        -0.123183
111             7       6:6             0.217400        0.217400        0.000000        0.125269        -0.071232
112             7       7:6             0.259000        0.259000        0.000000        0.182741        -0.036733
113             7       7:7             0.283800        0.000000        -0.283800       0.122436        -0.122056
114             7       7:8             0.295000        0.000000        -0.295000       0.082032        -0.185087
115             7       7:9             0.265400        0.000000        -0.265400       0.046432        -0.225261
116             7       7:10            0.193200        0.000000        -0.193200       0.019911        -0.224632
117             7       7:11            0.075300        0.000000        -0.075300       0.000000        -0.179231
PS E:\课题研究> cd "e:\课题研究\" ; if ($?) { g++ -std=c++14 model_0_2.cpp -o model_0_2 } ; if ($?) { .\model_0_2 }
Point #N        Game    Score(A:B)      L_i             G_A             G_B             M_A             M_B
-------------------------------------------------------------------------------------------------------------
1               1       1:0             0.158800        0.158800        0.000000        0.158800        0.000000
2               1       1:1             0.172800        0.000000        -0.172800       0.063710        -0.103473
3               1       2:1             0.159500        0.159500        0.000000        0.108918        -0.054640
4               1       3:1             0.178900        0.178900        0.000000        0.137840        -0.032058
5               1       4:1             0.210600        0.210600        0.000000        0.165599        -0.019828
6               1       5:1             0.207400        0.207400        0.000000        0.181896        -0.013285
7               1       6:1             0.166300        0.166300        0.000000        0.185315        0.000000
8               1       7:1             0.135200        0.135200        0.000000        0.167526        0.000000
9               1       8:1             0.088900        0.088900        0.000000        0.136943        0.000000
10              1       9:1             0.056400        0.056400        0.000000        0.102421        0.000000
11              1       10:1            0.023400        0.023400        0.000000        0.066867        0.000000
12              1       10:2            0.005100        0.000000        -0.005100       0.036235        -0.001946
13              1       11:2            0.011600        0.011600        0.000000        0.021739        -0.001304
14              2       1:0             0.164500        0.164500        0.000000        0.091226        -0.000658
15              2       2:0             0.171700        0.171700        0.000000        0.135837        -0.000302
16              2       2:1             0.189500        0.000000        -0.189500       0.082524        -0.082301
17              2       2:2             0.185800        0.000000        -0.185800       0.051277        -0.126005
18              2       3:2             0.184600        0.184600        0.000000        0.102774        -0.079946
19              2       3:3             0.188600        0.000000        -0.188600       0.060386        -0.125516
20              2       3:4             0.185300        0.000000        -0.185300       0.031614        -0.154789
21              2       3:5             0.170800        0.000000        -0.170800       0.021182        -0.159110
22              2       4:5             0.148000        0.148000        0.000000        0.070655        -0.097033
23              2       5:5             0.184000        0.184000        0.000000        0.108028        -0.065012
24              2       5:6             0.233300        0.000000        -0.233300       0.072379        -0.122850
25              2       6:6             0.214700        0.214700        0.000000        0.130404        -0.072765
26              2       7:6             0.247300        0.247300        0.000000        0.181717        -0.039955
27              2       8:6             0.292400        0.292400        0.000000        0.225680        -0.026770
28              2       8:7             0.282400        0.000000        -0.282400       0.141728        -0.125674
29              2       8:8             0.335500        0.000000        -0.335500       0.094958        -0.200181
30              2       9:8             0.376200        0.376200        0.000000        0.196086        -0.134121
31              2       9:9             0.420700        0.000000        -0.420700       0.118640        -0.250362
32              2       10:9            0.489700        0.489700        0.000000        0.251252        -0.167742
33              2       11:9            0.601600        0.601600        0.000000        0.397855        -0.097841
34              3       0:1             0.160200        0.000000        -0.160200       0.230574        -0.109826
35              3       0:2             0.148600        0.000000        -0.148600       0.100409        -0.133916
36              3       0:3             0.118500        0.000000        -0.118500       0.045875        -0.125727
37              3       0:4             0.095800        0.000000        -0.095800       0.015148        -0.116867
38              3       0:5             0.079000        0.000000        -0.079000       0.000000        -0.104288
39              3       0:6             0.045400        0.000000        -0.045400       0.000000        -0.078942
40              3       1:6             0.026900        0.026900        0.000000        0.010263        -0.045237
41              3       2:6             0.048500        0.048500        0.000000        0.025379        -0.024205
42              3       2:7             0.072100        0.000000        -0.072100       0.017004        -0.038789
43              3       3:7             0.041600        0.041600        0.000000        0.027263        -0.021920
44              3       3:8             0.076200        0.000000        -0.076200       0.018266        -0.041419
45              3       3:9             0.040500        0.000000        -0.040500       0.010853        -0.043202
46              3       3:10            0.016000        0.000000        -0.016000       0.004773        -0.035049
47              3       4:10            0.002900        0.002900        0.000000        0.004305        -0.019769
48              3       4:11            0.008000        0.000000        -0.008000       0.000741        -0.016297
49              4       1:0             0.153100        0.153100        0.000000        0.079394        -0.004403
50              4       1:1             0.172700        0.000000        -0.172700       0.048844        -0.083369
51              4       2:1             0.174700        0.174700        0.000000        0.105623        -0.050602
52              4       2:2             0.188600        0.000000        -0.188600       0.065707        -0.107416
53              4       2:3             0.174900        0.000000        -0.174900       0.041689        -0.134750
54              4       3:3             0.160700        0.160700        0.000000        0.081354        -0.090283
55              4       4:3             0.200300        0.200300        0.000000        0.130923        -0.051594
56              4       5:3             0.219100        0.219100        0.000000        0.162309        -0.034568
57              4       5:4             0.235200        0.000000        -0.235200       0.108747        -0.103177
58              4       5:5             0.237700        0.000000        -0.237700       0.072860        -0.150804
59              4       6:5             0.225400        0.225400        0.000000        0.126531        -0.101039
60              4       7:5             0.261200        0.261200        0.000000        0.174109        -0.067696
61              4       7:6             0.253100        0.000000        -0.253100       0.105367        -0.141916
62              4       7:7             0.276000        0.000000        -0.276000       0.070596        -0.188265
63              4       7:8             0.301200        0.000000        -0.301200       0.047299        -0.228805
65              4       7:10            0.201600        0.000000        -0.201600       0.000000        -0.248458
66              4       7:11            0.083900        0.000000        -0.083900       0.000000        -0.185439
67              5       1:0             0.170400        0.170400        0.000000        0.087948        -0.074755
68              5       2:0             0.174600        0.174600        0.000000        0.137019        -0.029896
69              5       3:0             0.182200        0.182200        0.000000        0.162884        -0.010010
70              5       4:0             0.183100        0.183100        0.000000        0.175171        -0.002113
71              5       4:1             0.170400        0.000000        -0.170400       0.111140        -0.065009
72              5       4:2             0.184100        0.000000        -0.184100       0.065687        -0.113792
73              5       5:2             0.208100        0.208100        0.000000        0.114409        -0.076240
74              5       6:2             0.197400        0.197400        0.000000        0.142579        -0.051081
75              5       7:2             0.178000        0.178000        0.000000        0.154005        -0.034224
76              5       7:3             0.136300        0.000000        -0.136300       0.103183        -0.066153
77              5       8:3             0.171300        0.171300        0.000000        0.134485        -0.034840
78              5       9:3             0.115900        0.115900        0.000000        0.123603        -0.023343
79              5       9:4             0.059300        0.000000        -0.059300       0.072646        -0.038263
80              5       10:4            0.088200        0.088200        0.000000        0.073154        -0.025636
81              5       11:4            0.029700        0.029700        0.000000        0.060344        -0.010156
82              6       0:1             0.161300        0.000000        -0.161300       0.022784        -0.087077
83              6       1:1             0.137300        0.137300        0.000000        0.073903        -0.053038
84              6       1:2             0.172900        0.000000        -0.172900       0.043885        -0.106360
85              6       1:3             0.146300        0.000000        -0.146300       0.025579        -0.125155
86              6       2:3             0.125900        0.125900        0.000000        0.063786        -0.079407
87              6       2:4             0.159300        0.000000        -0.159300       0.042737        -0.105669
88              6       2:5             0.137900        0.000000        -0.137900       0.021562        -0.123408
89              6       2:6             0.110800        0.000000        -0.110800       0.014446        -0.116049
90              6       3:6             0.072700        0.072700        0.000000        0.037415        -0.070217
91              6       4:6             0.109000        0.109000        0.000000        0.060167        -0.047045
92              6       4:7             0.155700        0.000000        -0.155700       0.040312        -0.082716
93              6       5:7             0.114200        0.114200        0.000000        0.070577        -0.048317
94              6       6:7             0.161100        0.161100        0.000000        0.108748        -0.026665
95              6       7:7             0.244400        0.244400        0.000000        0.162357        -0.017866
96              6       7:8             0.304100        0.000000        -0.304100       0.103165        -0.127987
97              6       7:9             0.275100        0.000000        -0.275100       0.069120        -0.182684
98              6       7:10            0.186300        0.000000        -0.186300       0.040428        -0.193473
99              6       7:11            0.084900        0.000000        -0.084900       0.018789        -0.162017
100             7       0:1             0.152100        0.000000        -0.152100       0.000000        -0.152010
101             7       0:2             0.137400        0.000000        -0.137400       0.000000        -0.142830
102             7       1:2             0.117900        0.117900        0.000000        0.051119        -0.079168
103             7       2:2             0.152900        0.152900        0.000000        0.093424        -0.045417
104             7       3:2             0.174300        0.174300        0.000000        0.125771        -0.027459
105             7       4:2             0.206600        0.206600        0.000000        0.163086        -0.010563
106             7       4:3             0.215200        0.000000        -0.215200       0.109268        -0.082101
107             7       4:4             0.212500        0.000000        -0.212500       0.067137        -0.136078
108             7       4:5             0.210600        0.000000        -0.210600       0.037106        -0.171518
109             7       4:6             0.175300        0.000000        -0.175300       0.015883        -0.181795
110             7       5:6             0.152400        0.152400        0.000000        0.058142        -0.121803
111             7       6:6             0.205100        0.205100        0.000000        0.117202        -0.070523
112             7       7:6             0.258800        0.258800        0.000000        0.177260        -0.036305
113             7       7:7             0.293500        0.000000        -0.293500       0.118764        -0.125449
114             7       7:8             0.294900        0.000000        -0.294900       0.079572        -0.187529
115             7       7:9             0.258300        0.000000        -0.258300       0.045463        -0.224188
116             7       7:10            0.191600        0.000000        -0.191600       0.019896        -0.223303
117             7       7:11            0.080700        0.000000        -0.080700       0.000000        -0.180401
PS E:\课题研究> cd "e:\课题研究\" ; if ($?) { g++ -std=c++14 model_0_2.cpp -o model_0_2 } ; if ($?) { .\model_0_2 }
Point #N        Game    Score(A:B)      L_i             G_A             G_B             M_A             M_B
-----------------------------------------------------------------------------------------------------------------
1               1       1:0             0.158600        0.158600        0.000000        0.158600        0.000000
2               1       1:1             0.175000        0.000000        -0.175000       0.063630        -0.104790
3               1       2:1             0.163600        0.163600        0.000000        0.110810        -0.055335
4               1       3:1             0.193700        0.193700        0.000000        0.145067        -0.032466
5               1       4:1             0.201000        0.201000        0.000000        0.166406        -0.020080
6               1       5:1             0.197600        0.197600        0.000000        0.178709        -0.013454
7               1       6:1             0.176300        0.176300        0.000000        0.186995        0.000000
8               1       7:1             0.138300        0.138300        0.000000        0.169622        0.000000
9               1       8:1             0.098500        0.098500        0.000000        0.141248        0.000000
10              1       9:1             0.051700        0.051700        0.000000        0.104007        0.000000
11              1       10:1            0.022000        0.022000        0.000000        0.067900        0.000000
12              1       10:2            0.005700        0.000000        -0.005700       0.036412        -0.002175
13              1       11:2            0.008300        0.008300        0.000000        0.020439        -0.001457
14              2       1:0             0.171200        0.171200        0.000000        0.093590        -0.000735
15              2       2:0             0.173700        0.173700        0.000000        0.138484        -0.000338
16              2       2:1             0.191500        0.000000        -0.191500       0.084230        -0.083184
17              2       2:2             0.191600        0.000000        -0.191600       0.052367        -0.128882
18              2       3:2             0.174000        0.174000        0.000000        0.099475        -0.081771
19              2       3:3             0.195800        0.000000        -0.195800       0.057830        -0.129486
20              2       3:4             0.191800        0.000000        -0.191800       0.029799        -0.159929
21              2       3:5             0.171600        0.000000        -0.171600       0.019965        -0.162755
22              2       4:5             0.136100        0.136100        0.000000        0.065300        -0.099177
23              2       5:5             0.185800        0.185800        0.000000        0.105673        -0.066449
24              2       5:6             0.236800        0.000000        -0.236800       0.070801        -0.124776
25              2       6:6             0.199600        0.199600        0.000000        0.123586        -0.073721
26              2       7:6             0.255800        0.255800        0.000000        0.180392        -0.040554
27              2       8:6             0.293400        0.293400        0.000000        0.225787        -0.027171
28              2       8:7             0.284600        0.000000        -0.284600       0.141707        -0.126782
29              2       8:8             0.346800        0.000000        -0.346800       0.094944        -0.205054
30              2       9:8             0.359900        0.359900        0.000000        0.190636        -0.137386
31              2       9:9             0.408700        0.000000        -0.408700       0.114550        -0.247971
32              2       10:9            0.491600        0.491600        0.000000        0.249186        -0.166141
33              2       11:9            0.604000        0.604000        0.000000        0.397385        -0.096655
34              3       0:1             0.158100        0.000000        -0.158100       0.230913        -0.107968
35              3       0:2             0.147500        0.000000        -0.147500       0.100807        -0.132370
36              3       0:3             0.124500        0.000000        -0.124500       0.046057        -0.127600
37              3       0:4             0.100900        0.000000        -0.100900       0.015209        -0.120088
38              3       0:5             0.075000        0.000000        -0.075000       0.000000        -0.104805
39              3       0:6             0.050800        0.000000        -0.050800       0.000000        -0.081457
40              3       1:6             0.031600        0.031600        0.000000        0.012056        -0.046978
41              3       2:6             0.044100        0.044100        0.000000        0.024902        -0.025063
